t_ros,u_cmd_L,u_cmd_R,p_ch_L,p_ch_R,p_sup,L_pos_mm,R_pos_mm,F_L,F_R
1768579788.977305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1768579788.9778624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1768579788.97883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1768579788.9798257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1768579788.980788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1768579788.9818232,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1768579788.982822,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1768579788.9838223,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1768579788.984822,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1768579788.9858215,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1768579788.9868217,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1768579788.9878216,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1768579788.9888206,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1768579788.9898207,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1768579788.9908214,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1768579788.991821,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1768579788.9928207,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1768579788.9938204,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1768579788.9948208,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1768579788.9958205,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1768579788.996821,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1768579788.9978635,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1768579788.9988213,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1768579788.9998207,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1768579789.0008206,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1768579789.0018213,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1768579789.0028214,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1768579789.0038211,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1768579789.0048208,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1768579789.0058208,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1768579789.0068216,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1768579789.0078208,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1768579789.0088227,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1768579789.0098205,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1768579789.0108206,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1768579789.0118206,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1768579789.012821,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1768579789.0138206,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1768579789.0148206,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1768579789.0158212,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1768579789.0168207,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1768579789.0178206,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1768579789.018825,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1768579789.0198207,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1768579789.020822,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1768579789.0218208,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1768579789.022821,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1768579789.0238206,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1768579789.0248218,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1768579789.025821,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1768579789.0268214,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1768579789.027821,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1768579789.0288208,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
